ROUTE,TOTAL_FLIGHTS,TOTAL_CANCELLED,TOTAL_ARRIVED,DELAYED_FLIGHTS_W,ARR_DELAY_MIN_W,CANCEL_RATE,DELAY_RATE,AVG_ARR_DELAY_MIN
AGS-DFW,376,2.0,373.0,61.0,4975.0,0.005319148936170213,0.16353887399463807,13.337801608579088
AGS-DTW,7,0.0,7.0,3.0,250.0,0.0,0.42857142857142855,35.714285714285715
AGS-LGA,21,0.0,21.0,4.0,127.0,0.0,0.19047619047619047,6.0476190476190474
AGS-MIA,12,0.0,12.0,7.0,388.0,0.0,0.5833333333333334,32.333333333333336
AGS-ORD,12,1.0,11.0,7.0,524.0,0.08333333333333333,0.6363636363636364,47.63636363636363
AGS-PHL,14,0.0,14.0,6.0,505.0,0.0,0.42857142857142855,36.07142857142857
AGS-PHX,2,0.0,2.0,1.0,85.0,0.0,0.5,42.5
AKN-ANC,215,2.0,213.0,38.0,1953.0,0.009302325581395349,0.1784037558685446,9.169014084507042
ALB-ATL,997,10.0,983.0,147.0,14284.0,0.010030090270812437,0.14954221770091555,14.531027466937944
ALB-BNA,108,1.0,107.0,38.0,3735.0,0.009259259259259259,0.35514018691588783,34.90654205607477
ALB-BWI,1664,17.0,1646.0,217.0,15687.0,0.010216346153846154,0.13183475091130012,9.530376670716889
ALB-CLT,1051,9.0,1037.0,208.0,19331.0,0.008563273073263558,0.20057859209257473,18.641272902603664
ALB-DCA,1258,33.0,1219.0,259.0,19657.0,0.026232114467408585,0.2124692370795734,16.12551271534044
ALB-DEN,136,1.0,135.0,31.0,1446.0,0.007352941176470588,0.22962962962962963,10.71111111111111
ALB-DFW,87,0.0,87.0,25.0,1362.0,0.0,0.28735632183908044,15.655172413793103
ALB-DTW,1331,15.0,1316.0,166.0,16036.0,0.011269722013523666,0.12613981762917933,12.185410334346505
ALB-EWR,669,41.0,628.0,84.0,6424.0,0.061285500747384154,0.1337579617834395,10.229299363057326
ALB-FLL,347,8.0,338.0,94.0,9058.0,0.023054755043227664,0.2781065088757396,26.798816568047336
ALB-LGA,913,28.0,885.0,135.0,9952.0,0.03066812705366922,0.15254237288135594,11.245197740112994
ALB-MCO,920,11.0,902.0,216.0,17868.0,0.011956521739130435,0.2394678492239468,19.80931263858093
ALB-MDW,664,8.0,651.0,110.0,9415.0,0.012048192771084338,0.16897081413210446,14.46236559139785
ALB-MIA,21,1.0,20.0,0.0,45.0,0.047619047619047616,0.0,2.25
ALB-MYR,103,2.0,101.0,28.0,1425.0,0.019417475728155338,0.27722772277227725,14.108910891089108
ALB-ORD,1033,14.0,1016.0,176.0,16418.0,0.013552758954501452,0.1732283464566929,16.159448818897637
ALB-PGD,131,0.0,131.0,42.0,3859.0,0.0,0.32061068702290074,29.458015267175572
ALB-PHL,22,0.0,22.0,3.0,250.0,0.0,0.13636363636363635,11.363636363636363
ALB-PIE,115,0.0,115.0,20.0,1604.0,0.0,0.17391304347826086,13.947826086956521
ALB-SFB,94,0.0,94.0,25.0,1990.0,0.0,0.26595744680851063,21.170212765957448
ALB-TPA,227,1.0,225.0,43.0,2640.0,0.004405286343612335,0.19111111111111112,11.733333333333333
ALO-ORD,75,4.0,71.0,13.0,874.0,0.05333333333333334,0.18309859154929578,12.309859154929578
ALW-SEA,343,13.0,329.0,42.0,3323.0,0.037900874635568516,0.1276595744680851,10.100303951367781
AMA-AUS,318,2.0,315.0,11.0,933.0,0.006289308176100629,0.03492063492063492,2.961904761904762
AMA-DAL,1354,20.0,1332.0,140.0,9116.0,0.014771048744460856,0.10510510510510511,6.843843843843844
AMA-DEN,707,8.0,698.0,182.0,14194.0,0.011315417256011316,0.2607449856733524,20.335243553008596
AMA-DFW,2064,33.0,2026.0,380.0,46411.0,0.015988372093023256,0.18756169792694966,22.907699901283316
AMA-HOU,7,0.0,7.0,0.0,11.0,0.0,0.0,1.5714285714285714
AMA-IAH,465,10.0,453.0,80.0,9178.0,0.021505376344086023,0.17660044150110377,20.26048565121413
AMA-LAS,365,2.0,362.0,59.0,4087.0,0.005479452054794521,0.16298342541436464,11.290055248618785
ANC-ADK,104,8.0,95.0,9.0,760.0,0.07692307692307693,0.09473684210526316,8.0
ANC-ADQ,790,30.0,756.0,112.0,7481.0,0.0379746835443038,0.14814814814814814,9.895502645502646
ANC-AKN,215,2.0,213.0,23.0,1549.0,0.009302325581395349,0.107981220657277,7.272300469483568
ANC-ATL,103,0.0,103.0,43.0,3683.0,0.0,0.4174757281553398,35.75728155339806
ANC-BET,722,20.0,700.0,131.0,7527.0,0.027700831024930747,0.18714285714285714,10.752857142857144
ANC-BRW,363,9.0,354.0,85.0,5454.0,0.024793388429752067,0.2401129943502825,15.40677966101695
ANC-CDV,362,0.0,357.0,81.0,4050.0,0.0,0.226890756302521,11.344537815126051
ANC-DEN,542,6.0,534.0,116.0,12917.0,0.01107011070110701,0.21722846441947566,24.189138576779026
ANC-DFW,338,0.0,336.0,105.0,10183.0,0.0,0.3125,30.30654761904762
ANC-DLG,145,4.0,141.0,20.0,938.0,0.027586206896551724,0.14184397163120568,6.652482269503546
ANC-EWR,95,5.0,90.0,32.0,5870.0,0.05263157894736842,0.35555555555555557,65.22222222222223
ANC-FAI,677,2.0,675.0,86.0,5294.0,0.0029542097488921715,0.1274074074074074,7.842962962962963
ANC-HNL,356,2.0,352.0,56.0,2786.0,0.0056179775280898875,0.1590909090909091,7.9147727272727275
ANC-IAH,95,0.0,95.0,21.0,1408.0,0.0,0.22105263157894736,14.821052631578947
ANC-JNU,1185,8.0,1167.0,177.0,9882.0,0.006751054852320675,0.15167095115681234,8.467866323907455
ANC-KOA,93,0.0,93.0,11.0,719.0,0.0,0.11827956989247312,7.731182795698925
ANC-LAS,108,0.0,108.0,14.0,495.0,0.0,0.12962962962962962,4.583333333333333
ANC-LAX,363,1.0,362.0,69.0,2850.0,0.0027548209366391185,0.19060773480662985,7.87292817679558
ANC-MSP,611,5.0,606.0,85.0,7466.0,0.008183306055646482,0.14026402640264027,12.32013201320132
ANC-OGG,99,0.0,99.0,11.0,456.0,0.0,0.1111111111111111,4.606060606060606
ANC-OME,537,24.0,510.0,86.0,4414.0,0.0446927374301676,0.16862745098039217,8.654901960784313
ANC-ORD,758,3.0,747.0,240.0,22847.0,0.00395778364116095,0.321285140562249,30.585006693440427
ANC-OTZ,166,12.0,152.0,17.0,1111.0,0.07228915662650602,0.1118421052631579,7.309210526315789
ANC-PDX,498,3.0,495.0,60.0,3879.0,0.006024096385542169,0.12121212121212122,7.836363636363636
ANC-PHX,294,1.0,292.0,75.0,3605.0,0.003401360544217687,0.2568493150684932,12.345890410958905
ANC-SCC,415,10.0,404.0,42.0,3713.0,0.024096385542168676,0.10396039603960396,9.19059405940594
ANC-SEA,7518,44.0,7471.0,1089.0,68292.0,0.005852620377760042,0.14576361932806853,9.140944987284165
ANC-SFO,214,3.0,210.0,39.0,5007.0,0.014018691588785047,0.18571428571428572,23.84285714285714
ANC-SLC,84,0.0,84.0,14.0,489.0,0.0,0.16666666666666666,5.821428571428571
APN-DTW,386,8.0,378.0,61.0,8444.0,0.02072538860103627,0.16137566137566137,22.33862433862434
APN-PLN,65,5.0,58.0,14.0,2891.0,0.07692307692307693,0.2413793103448276,49.8448275862069
ASE-ATL,216,21.0,190.0,61.0,4689.0,0.09722222222222222,0.32105263157894737,24.678947368421053
ASE-AUS,206,13.0,190.0,68.0,6957.0,0.06310679611650485,0.35789473684210527,36.61578947368421
ASE-DEN,2416,182.0,2231.0,621.0,53800.0,0.07533112582781457,0.27835051546391754,24.114746750336174
ASE-DFW,1021,73.0,939.0,256.0,30784.0,0.07149853085210578,0.27263045793397234,32.78381256656017
ASE-IAH,544,36.0,503.0,171.0,14573.0,0.0661764705882353,0.3399602385685885,28.97216699801193
ASE-LAX,934,76.0,854.0,226.0,19494.0,0.08137044967880086,0.2646370023419204,22.826697892271664
ASE-ORD,841,61.0,770.0,213.0,21478.0,0.07253269916765755,0.2766233766233766,27.893506493506493
ASE-PHX,105,17.0,87.0,26.0,1814.0,0.1619047619047619,0.2988505747126437,20.850574712643677
ASE-SFO,308,28.0,278.0,97.0,10515.0,0.09090909090909091,0.3489208633093525,37.82374100719424
ATL-ABE,994,3.0,990.0,118.0,8780.0,0.0030181086519114686,0.1191919191919192,8.868686868686869
ATL-ABQ,1001,5.0,995.0,163.0,8524.0,0.004995004995004995,0.16381909547738693,8.566834170854271
ATL-ABY,814,2.0,806.0,78.0,6716.0,0.002457002457002457,0.0967741935483871,8.332506203473946
ATL-AEX,730,4.0,719.0,83.0,5255.0,0.005479452054794521,0.11543810848400557,7.3087621696801115
ATL-AGS,2032,7.0,2020.0,289.0,24268.0,0.0034448818897637795,0.14306930693069306,12.013861386138613
ATL-ALB,997,10.0,986.0,186.0,11683.0,0.010030090270812437,0.18864097363083165,11.848884381338742
ATL-ANC,103,0.0,103.0,29.0,2176.0,0.0,0.2815533980582524,21.12621359223301
ATL-ASE,216,7.0,192.0,56.0,3986.0,0.032407407407407406,0.2916666666666667,20.760416666666668
ATL-ATW,367,2.0,364.0,37.0,2451.0,0.005449591280653951,0.10164835164835165,6.733516483516484
ATL-AUS,4197,38.0,4155.0,793.0,47427.0,0.009054086252084823,0.19085439229843562,11.414440433212997
ATL-AVL,2101,12.0,2087.0,302.0,20354.0,0.005711565920990005,0.14470531863919503,9.752755150934355
ATL-BDL,2033,15.0,2017.0,272.0,16190.0,0.0073782587309394985,0.13485374318294496,8.026772434308379
ATL-BHM,2760,37.0,2722.0,421.0,28252.0,0.013405797101449275,0.15466568699485672,10.3791329904482
ATL-BMI,727,2.0,722.0,104.0,9838.0,0.002751031636863824,0.1440443213296399,13.626038781163436
ATL-BNA,3861,22.0,3833.0,612.0,40258.0,0.005698005698005698,0.15966605791807983,10.503000260892252
ATL-BOI,447,4.0,443.0,52.0,2741.0,0.008948545861297539,0.11738148984198646,6.187358916478555
ATL-BOS,5066,44.0,5019.0,957.0,72297.0,0.008685353335965259,0.19067543335325762,14.404662283323372
ATL-BQK,729,3.0,721.0,87.0,9169.0,0.00411522633744856,0.12066574202496533,12.717059639389737
ATL-BTR,1491,7.0,1480.0,171.0,12313.0,0.004694835680751174,0.11554054054054054,8.319594594594594
ATL-BTV,365,1.0,364.0,49.0,3712.0,0.0027397260273972603,0.1346153846153846,10.197802197802197
ATL-BUF,1275,14.0,1261.0,240.0,18973.0,0.010980392156862745,0.19032513877874702,15.04599524187153
ATL-BWI,6447,55.0,6379.0,1402.0,97033.0,0.008531099736311464,0.21978366515127762,15.211318388462141
ATL-BZN,329,1.0,327.0,36.0,2369.0,0.00303951367781155,0.11009174311926606,7.244648318042813
ATL-CAE,2012,12.0,1997.0,266.0,16642.0,0.005964214711729622,0.13319979969954931,8.333500250375563
ATL-CHA,2285,13.0,2269.0,307.0,25239.0,0.0056892778993435445,0.13530189510797708,11.123402379903041
ATL-CHO,1055,3.0,1048.0,101.0,7415.0,0.002843601895734597,0.09637404580152671,7.075381679389313
ATL-CHS,2708,22.0,2684.0,415.0,25265.0,0.00812407680945347,0.15461997019374069,9.413189269746647
ATL-CID,365,3.0,361.0,53.0,3735.0,0.00821917808219178,0.14681440443213298,10.346260387811634
ATL-CLE,3389,32.0,3354.0,701.0,47112.0,0.00944231336677486,0.2090041741204532,14.046511627906977
ATL-CLT,4938,31.0,4901.0,791.0,67722.0,0.006277845281490482,0.16139563354417466,13.817996327280147
ATL-CMH,3056,24.0,3030.0,457.0,28653.0,0.007853403141361256,0.15082508250825083,9.456435643564356
ATL-COS,210,0.0,208.0,48.0,3442.0,0.0,0.23076923076923078,16.548076923076923
ATL-CRW,989,5.0,980.0,133.0,11455.0,0.005055611729019211,0.1357142857142857,11.688775510204081
ATL-CSG,948,6.0,937.0,119.0,10449.0,0.006329113924050633,0.12700106723585913,11.15154749199573
ATL-CVG,2723,28.0,2693.0,410.0,27079.0,0.010282776349614395,0.15224656516895654,10.055328629780913
ATL-DAB,1515,17.0,1495.0,201.0,12644.0,0.011221122112211221,0.13444816053511705,8.45752508361204
ATL-DAL,3504,40.0,3448.0,693.0,46191.0,0.01141552511415525,0.2009860788863109,13.396461716937354
ATL-DAY,1299,2.0,1296.0,131.0,9157.0,0.001539645881447267,0.10108024691358025,7.065586419753086
ATL-DCA,6954,67.0,6861.0,1246.0,81791.0,0.009634742594190395,0.18160617985716368,11.921148520623817
ATL-DEN,6176,63.0,6089.0,1438.0,97955.0,0.010200777202072539,0.236163573657415,16.087206437838727
ATL-DFW,6359,90.0,6246.0,1452.0,108296.0,0.014153168737222834,0.23246878001921228,17.338456612231827
ATL-DHN,730,0.0,728.0,73.0,4349.0,0.0,0.10027472527472528,5.9739010989010985
ATL-DSM,1077,5.0,1071.0,123.0,8080.0,0.004642525533890436,0.11484593837535013,7.544351073762838
ATL-DTW,5354,29.0,5321.0,971.0,68527.0,0.005416511019798282,0.18248449539560233,12.878594249201278
ATL-ECP,1839,15.0,1820.0,313.0,21342.0,0.008156606851549755,0.17197802197802198,11.726373626373626
ATL-EGE,133,1.0,129.0,19.0,1218.0,0.007518796992481203,0.14728682170542637,9.44186046511628
ATL-ELP,684,5.0,678.0,125.0,7437.0,0.007309941520467836,0.18436578171091444,10.969026548672566
ATL-EVV,868,1.0,866.0,100.0,11843.0,0.001152073732718894,0.11547344110854503,13.675519630484988
ATL-EWR,5913,134.0,5763.0,1208.0,96362.0,0.022661931337730423,0.20961304875932674,16.720805136213777
ATL-EYW,1486,8.0,1473.0,240.0,18961.0,0.005383580080753701,0.1629327902240326,12.872369314324509
ATL-FAY,730,11.0,717.0,114.0,10252.0,0.015068493150684932,0.1589958158995816,14.298465829846583
ATL-FLL,8040,100.0,7900.0,2137.0,154191.0,0.012437810945273632,0.270506329113924,19.517848101265823
ATL-FSD,365,9.0,355.0,81.0,4922.0,0.024657534246575342,0.22816901408450704,13.864788732394366
ATL-FWA,893,2.0,891.0,140.0,11584.0,0.0022396416573348264,0.15712682379349047,13.001122334455667
ATL-GEG,447,5.0,442.0,55.0,2991.0,0.011185682326621925,0.1244343891402715,6.766968325791855
ATL-GNV,1647,10.0,1630.0,226.0,17866.0,0.006071645415907711,0.13865030674846626,10.960736196319019
ATL-GPT,1196,6.0,1186.0,136.0,9778.0,0.005016722408026756,0.11467116357504216,8.24451939291737
ATL-GRB,364,5.0,358.0,60.0,4235.0,0.013736263736263736,0.16759776536312848,11.829608938547485
ATL-GRR,1317,12.0,1305.0,214.0,13915.0,0.009111617312072893,0.16398467432950192,10.662835249042146
ATL-GSO,2252,13.0,2237.0,293.0,20256.0,0.005772646536412078,0.13097898971837282,9.054984354045597
ATL-GSP,3074,10.0,3063.0,478.0,28772.0,0.0032530904359141183,0.15605615409729023,9.393405158341496
ATL-GTR,802,3.0,798.0,89.0,6165.0,0.003740648379052369,0.11152882205513784,7.725563909774436
ATL-HDN,108,1.0,103.0,15.0,712.0,0.009259259259259259,0.14563106796116504,6.912621359223301
ATL-HHH,203,2.0,201.0,26.0,2174.0,0.009852216748768473,0.12935323383084577,10.81592039800995
ATL-HNL,365,1.0,363.0,106.0,6898.0,0.0027397260273972603,0.29201101928374656,19.00275482093664
ATL-HOU,3096,17.0,3071.0,586.0,38099.0,0.005490956072351421,0.19081732334744383,12.406056659068707
ATL-HPN,1769,7.0,1744.0,290.0,18881.0,0.00395703787450537,0.16628440366972477,10.826261467889909
ATL-HSV,2080,17.0,2062.0,257.0,16929.0,0.008173076923076924,0.12463627546071775,8.209990300678953
ATL-IAD,3490,23.0,3464.0,575.0,39951.0,0.006590257879656161,0.1659930715935335,11.533198614318707
ATL-IAH,4747,56.0,4682.0,1176.0,84243.0,0.011796924373288392,0.25117471166168304,17.9929517300299
ATL-ICT,1042,3.0,1036.0,110.0,8886.0,0.0028790786948176585,0.10617760617760617,8.577220077220078
ATL-ILM,1235,6.0,1228.0,121.0,8978.0,0.004858299595141701,0.0985342019543974,7.311074918566775
ATL-IND,3384,22.0,3359.0,579.0,34392.0,0.0065011820330969266,0.17237272997916048,10.238761536171479
ATL-JAC,222,1.0,220.0,58.0,3619.0,0.0045045045045045045,0.2636363636363636,16.45
ATL-JAN,3130,10.0,3117.0,413.0,27345.0,0.003194888178913738,0.13249919794674367,8.772858517805583
ATL-JAX,4338,32.0,4300.0,907.0,56055.0,0.007376671277086215,0.21093023255813953,13.036046511627907
ATL-JFK,3781,38.0,3736.0,1039.0,83422.0,0.010050251256281407,0.2781049250535332,22.329229122055676
ATL-LAS,5144,49.0,5080.0,1469.0,97536.0,0.009525660964230171,0.2891732283464567,19.2
ATL-LAX,5545,43.0,5487.0,1321.0,85602.0,0.00775473399458972,0.24075086568252232,15.60087479496993
ATL-LEX,1888,11.0,1870.0,213.0,13928.0,0.005826271186440678,0.11390374331550802,7.448128342245989
ATL-LFT,992,1.0,987.0,157.0,12388.0,0.0010080645161290322,0.1590678824721378,12.551165146909828
ATL-LGA,7883,148.0,7694.0,1492.0,103899.0,0.01877457820626665,0.19391733818559917,13.503899142188718
ATL-LIT,2307,11.0,2291.0,357.0,24025.0,0.004768097095795405,0.1558271497162811,10.486687036228721
ATL-MCI,3272,24.0,3247.0,648.0,39875.0,0.007334963325183374,0.19956883276870957,12.280566676932553
ATL-MCO,9039,55.0,8960.0,2334.0,177320.0,0.006084743887598186,0.2604910714285714,19.790178571428573
ATL-MDT,1018,0.0,1017.0,87.0,5901.0,0.0,0.0855457227138643,5.8023598820058995
ATL-MDW,3597,58.0,3530.0,781.0,51863.0,0.016124548234639977,0.22124645892351275,14.692067988668555
ATL-MEM,3538,32.0,3504.0,587.0,37672.0,0.009044657998869417,0.1675228310502283,10.751141552511415
ATL-MGM,1363,10.0,1350.0,184.0,19220.0,0.007336757153338224,0.1362962962962963,14.237037037037037
ATL-MIA,6799,53.0,6711.0,1959.0,152604.0,0.007795264009413149,0.2919088064371927,22.739383102369246
ATL-MKE,2404,26.0,2373.0,400.0,23768.0,0.010815307820299502,0.1685630004214075,10.016013485040034
ATL-MLB,1415,8.0,1403.0,208.0,12956.0,0.005653710247349823,0.1482537419814683,9.234497505345688
ATL-MLI,729,2.0,725.0,98.0,9091.0,0.0027434842249657062,0.13517241379310344,12.539310344827586
ATL-MLU,752,1.0,751.0,77.0,5790.0,0.0013297872340425532,0.10252996005326231,7.709720372836219
ATL-MOB,1398,10.0,1388.0,195.0,13725.0,0.00715307582260372,0.14048991354466858,9.888328530259367
ATL-MSN,1033,3.0,1027.0,112.0,7212.0,0.002904162633107454,0.10905550146056475,7.022395326192795
ATL-MSP,3789,28.0,3760.0,568.0,38111.0,0.007389812615465822,0.15106382978723404,10.135904255319149
ATL-MSY,4567,30.0,4533.0,990.0,63030.0,0.006568863586599518,0.2183984116479153,13.904698874917273
ATL-MTJ,102,1.0,99.0,17.0,952.0,0.00980392156862745,0.1717171717171717,9.616161616161616
ATL-MYR,1430,10.0,1419.0,214.0,14261.0,0.006993006993006993,0.15081042988019733,10.050035236081747
ATL-OAJ,730,2.0,726.0,81.0,6245.0,0.0027397260273972603,0.1115702479338843,8.601928374655648
ATL-OAK,38,0.0,38.0,9.0,580.0,0.0,0.23684210526315788,15.263157894736842
ATL-OGG,83,0.0,83.0,31.0,1529.0,0.0,0.37349397590361444,18.42168674698795
ATL-OKC,2079,8.0,2069.0,266.0,18840.0,0.003848003848003848,0.12856452392460124,9.105848235862736
ATL-OMA,2136,13.0,2121.0,260.0,18166.0,0.006086142322097378,0.12258368694012259,8.564827911362565
ATL-ONT,1070,20.0,1047.0,268.0,17276.0,0.018691588785046728,0.2559694364851958,16.500477554918817
ATL-ORD,6178,70.0,6095.0,1433.0,106978.0,0.011330527678860473,0.2351107465135357,17.551763740771126
ATL-ORF,2361,12.0,2339.0,424.0,31283.0,0.005082592121982211,0.18127404873877725,13.374519025224455
ATL-PBI,4047,35.0,4006.0,946.0,57270.0,0.008648381517173214,0.23614578132800798,14.29605591612581
ATL-PDX,1253,11.0,1239.0,161.0,9913.0,0.008778930566640064,0.12994350282485875,8.000807102502018
ATL-PHL,5815,46.0,5767.0,1293.0,96868.0,0.007910576096302666,0.22420669325472517,16.796948153285935
ATL-PHX,3649,22.0,3618.0,765.0,57794.0,0.006029049054535489,0.21144278606965175,15.974018794914317
